lat,lon,num_tweets,num_users
40.434,-79.923,213,120
40.336,-80.066,5,1
40.522,-79.868,1,1
40.265,-79.876,2,2
40.488,-80.044,56,17
40.25,-80.198,7,2
40.521,-79.967,1,1
40.409,-79.929,1,1
40.492,-79.846,1,1
40.414,-79.81,6,2
40.382,-80.004,2,2
40.599,-79.936,83,2
40.284,-79.937,3,3
40.248,-80.083,37,3
40.317,-80.181,2,1
40.517,-80.013,2,2
40.59,-79.902,1,1
40.39,-79.927,1,1
40.35,-80.026,2,2
40.557,-80.108,1,1
40.496,-80.003,66,9
40.371,-80.097,5,4
40.549,-79.982,1,1
40.504,-80.126,2,2
40.336,-79.946,31,23
40.319,-79.859,8,3
40.302,-80.176,65,12
40.375,-80.155,3,3
40.373,-80.053,14,11
40.558,-80.025,5,5
40.399,-80.089,5,5
40.565,-80.088,1,1
40.519,-79.925,15,2
40.451,-80.169,52,47
40.409,-80.053,1,1
40.301,-80.092,1,1
40.471,-80.068,18,8
40.393,-80.183,1,1
40.59,-80.054,1,1
40.375,-80.055,33,16
40.305,-80.026,87,2
40.271,-79.86,1,1
40.594,-80.09,1,1
40.363,-80.028,7,7
40.516,-79.972,1,1
40.406,-79.889,1,1
40.559,-80.08,537,2
40.497,-79.895,1,1
40.308,-79.811,7,2
40.252,-80.064,4,4
40.446,-79.959,64,31
40.385,-80.12,1,1
40.389,-79.878,3,2
40.437,-80.056,244,8
40.329,-79.888,1,1
40.456,-80.17,31,17
40.504,-80.102,1,1
40.539,-80.022,45,5
40.309,-79.959,1,1
40.336,-80.051,24,24
40.374,-80.107,2,2
40.567,-80.031,36,9
40.355,-80.07,30,3
40.58,-79.8,3,3
40.439,-79.902,5,5
40.551,-80.189,3,2
40.591,-79.95,2,1
40.428,-80.023,8,8
40.333,-80.035,1,1
40.551,-80.078,3,2
40.263,-80.052,33,5
40.341,-79.81,2,2
40.484,-79.818,2,2
40.488,-80.171,50,5
40.507,-79.948,1,1
40.508,-80.018,2,2
40.394,-80.01,5,4
40.343,-80.081,4,4
40.396,-79.945,9,9
40.27,-80.1,13,1
40.371,-79.96,2,1
40.462,-79.928,23,11
40.464,-80.031,231,5
40.534,-79.973,1,1
40.464,-79.903,51,9
40.58,-80.033,11,11
40.357,-80.01,6,4
40.432,-79.827,1,1
40.398,-79.908,1,1
40.294,-79.909,8,5
40.542,-79.817,3,3
40.397,-79.897,16,4
40.481,-79.825,1,1
40.387,-80.005,6,1
40.482,-79.821,5,5
40.591,-79.944,2,2
40.32,-80.011,1,1
40.485,-80.057,10,4
40.565,-80.099,10,2
40.402,-80.098,30,1
40.407,-79.841,7,6
40.503,-80.176,2,2
40.363,-80.067,4,4
40.433,-79.878,7,3
40.536,-80.079,2,2
40.625,-80.021,9,1
40.264,-80.142,34,8
40.419,-79.847,565,9
40.272,-80.062,1,1
40.333,-80.181,1,1
40.557,-79.801,1,1
40.43,-79.955,102,15
40.394,-79.962,58,5
40.6,-80.066,3,3
40.353,-79.941,1,1
40.55,-79.886,6,3
40.316,-79.992,2,2
40.615,-79.941,2,2
40.354,-79.871,1,1
40.426,-79.94,479,137
40.314,-80.104,2,1
40.605,-79.935,2,2
40.567,-79.945,15,2
40.539,-80.156,1,1
40.288,-80.073,10,1
40.466,-79.846,164,4
40.286,-79.993,7,2
40.451,-80.159,104,69
40.336,-79.857,4,1
40.37,-80.013,3,2
40.396,-80.087,14,13
40.615,-80.093,10,7
40.492,-79.991,10,3
40.288,-79.995,3,3
40.294,-80.109,2,1
40.378,-80.078,12,3
40.586,-79.999,1,1
40.53,-80.02,10,2
40.336,-80.042,15,11
40.331,-79.846,1,1
40.528,-80.163,6,6
40.372,-79.818,1,1
40.504,-80.038,9,5
40.347,-80.099,13,3
40.466,-80.042,1,1
40.434,-79.982,49,30
40.361,-79.843,3,2
40.337,-80.024,95,62
40.554,-79.84,3,3
40.546,-80.07,3,2
40.418,-80.063,4,1
40.503,-79.982,2,2
40.402,-80.108,1,1
40.31,-80.019,1,1
40.351,-80.003,4,1
40.428,-79.921,36,3
40.44,-79.824,1,1
40.449,-80.025,76,54
40.428,-80.043,32,8
40.316,-80.197,31,3
40.321,-79.893,7,4
40.475,-79.999,38,4
40.437,-79.943,4,4
40.468,-79.939,1,1
40.436,-79.962,455,165
40.354,-80.003,1,1
40.503,-80.115,1,1
40.353,-79.987,18,4
40.617,-80.056,16,14
40.43,-80.132,8,7
40.588,-80.09,2,1
40.414,-79.846,38,14
40.423,-80.069,4,3
40.457,-79.883,1,1
40.341,-79.982,198,5
40.485,-79.817,50,35
40.342,-79.819,1,1
