date,tweet_pgh,tweet_sf,tweet_ny,tweet_houston,tweet_cleveland,tweet_seattle,tweet_miami,tweet_detroit,tweet_chicago,tweet_london,flickr_pgh,instagram_pgh 
Tue Sep 09 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,161923 
Wed Sep 10 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,162592 
Thu Sep 11 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,163136 
Fri Sep 12 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,163831 
Sat Sep 13 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,164511 
Sun Sep 14 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,165589 
Mon Sep 15 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,166950 
Tue Sep 16 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,167636 
Wed Sep 17 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,168287 
Thu Sep 18 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,169125 
Fri Sep 19 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,169921 
Sat Sep 20 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,170749 
Sun Sep 21 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,172272 
Mon Sep 22 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,173784 
Tue Sep 23 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,174286 
Wed Sep 24 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,174727 
Thu Sep 25 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,175209 
Fri Sep 26 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,175804 
Sat Sep 27 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,176282 
Sun Sep 28 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,177286 
Mon Sep 29 2014 00:00:00 GMT+0000 (UTC),9766056,,,,,,,,,,151550,179023 
Tue Sep 30 2014 00:00:00 GMT+0000 (UTC),9768043,,,,,,,,,,151550,179625 
Wed Oct 01 2014 00:00:00 GMT+0000 (UTC),9796658,,,,,,,,,,151550,180130 
Thu Oct 02 2014 00:00:00 GMT+0000 (UTC),9828153,,,,,,,,,,151550,181135 
Fri Oct 03 2014 00:00:00 GMT+0000 (UTC),9860759,,,,,,,,,,151550,182239 
Sat Oct 04 2014 00:00:00 GMT+0000 (UTC),9892133,,,,,,,,,,151550,182694 
Sun Oct 05 2014 00:00:00 GMT+0000 (UTC),9921441,,,,,,,,,,151550,183299 
Mon Oct 06 2014 00:00:00 GMT+0000 (UTC),9953762,,,,,,,,,,151550,183923 
Tue Oct 07 2014 00:00:00 GMT+0000 (UTC),9983045,,,,,,,,,,151550,184415 
Wed Oct 08 2014 00:00:00 GMT+0000 (UTC),10013208,,,,,,,,,,151550,184833 
Thu Oct 09 2014 00:00:00 GMT+0000 (UTC),10043917,,,,,,,,,,151550,185301 
Fri Oct 10 2014 00:00:00 GMT+0000 (UTC),10075818,,,,,,,,,,151550,185779 
Sat Oct 11 2014 00:00:00 GMT+0000 (UTC),10106837,,,,,,,,,,151550,186237 
Sun Oct 12 2014 00:00:00 GMT+0000 (UTC),10134875,,,,,,,,,,151550,187008 
Mon Oct 13 2014 00:00:00 GMT+0000 (UTC),10167603,,,,,,,,,,151550,187767 
Tue Oct 14 2014 00:00:00 GMT+0000 (UTC),10201169,,,,,,,,,,151550,188335 
Wed Oct 15 2014 00:00:00 GMT+0000 (UTC),10232074,,,,,,,,,,151550,188863 
Thu Oct 16 2014 00:00:00 GMT+0000 (UTC),10265023,,,,,,,,,,151550,189352 
Fri Oct 17 2014 00:00:00 GMT+0000 (UTC),10296388,,,,,,,,,,151550,190064 
Sat Oct 18 2014 00:00:00 GMT+0000 (UTC),10326100,,,,,,,,,,151550,190861 
Sun Oct 19 2014 00:00:00 GMT+0000 (UTC),10343842,,,,,,,,,,151550,191749 
Mon Oct 20 2014 00:00:00 GMT+0000 (UTC),10343842,,,,,,,,,,151550,192514 
Tue Oct 21 2014 00:00:00 GMT+0000 (UTC),10352162,,,,,,,,,,151550,193362 
Wed Oct 22 2014 00:00:00 GMT+0000 (UTC),10383088,,,,,,,,,,151550,194804 
Thu Oct 23 2014 00:00:00 GMT+0000 (UTC),10411192,,,,,,,,,,151550,195527 
Fri Oct 24 2014 00:00:00 GMT+0000 (UTC),10440433,,,,,,,,,,151550,196216 
Sat Oct 25 2014 00:00:00 GMT+0000 (UTC),10469635,,,,,,,,,,151550,196965 
Sun Oct 26 2014 00:00:00 GMT+0000 (UTC),10495918,,,,,,,,,,151550,198160 
Mon Oct 27 2014 00:00:00 GMT+0000 (UTC),10528157,,,,,,,,,,151550,199886 
Tue Oct 28 2014 00:00:00 GMT+0000 (UTC),10557211,,,,,,,,,,151550,200697 
Wed Oct 29 2014 00:00:00 GMT+0000 (UTC),10587698,,,,,,,,,,151550,201320 
Thu Oct 30 2014 00:00:00 GMT+0000 (UTC),10615677,,,,,,,,,,151550,201372 
Fri Oct 31 2014 00:00:00 GMT+0000 (UTC),10643557,,,,,,,,,,151550,201726 
Sat Nov 01 2014 00:00:00 GMT+0000 (UTC),10670933,,,,,,,,,,151550,202421 
Sun Nov 02 2014 00:00:00 GMT+0000 (UTC),10698735,,,,,,,,,,151550,203384 
Mon Nov 03 2014 00:00:00 GMT+0000 (UTC),10728426,,,,,,,,,,151550,204270 
Tue Nov 04 2014 00:00:00 GMT+0000 (UTC),10760996,,,,,,,,,,151550,205755 
Wed Nov 05 2014 00:00:00 GMT+0000 (UTC),10790074,,,,,,,,,,151550,206370 
Thu Nov 06 2014 00:00:00 GMT+0000 (UTC),10820596,,,,,,,,,,151550,206879 
Fri Nov 07 2014 00:00:00 GMT+0000 (UTC),6914378,,,,,,,,,,151550,207298 
Sat Nov 08 2014 00:00:00 GMT+0000 (UTC),2699425,,,,,,,,,,151550,207823 
Sun Nov 09 2014 00:00:00 GMT+0000 (UTC),2705893,,,,,,,,,,151550,208440 
Mon Nov 10 2014 00:00:00 GMT+0000 (UTC),2707296,,,,,,,,,,151550,209143 
Tue Nov 11 2014 00:00:00 GMT+0000 (UTC),2710929,1731923,33675,35356,35066,28123,26990,41376,31650,165501,151550,209644 
Wed Nov 12 2014 00:00:00 GMT+0000 (UTC),2717126,1742744,62400,56253,47940,37246,52403,56580,53184,213319,151550,210189 
